,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
1024,1023,HealthTexas Provider Network,Healthcare,TX,,2742,23/01/2014,Hacking/IT Incident,E-mail,07/05/2014,,23/01/2014,NA,2014
1025,1024,DeKalb Health,Healthcare,IN,"Ferguson Advertising, Inc.",1361,02/09/2014,Hacking/IT Incident,Network Server,27/05/2014,,09/02/2014,NA,2014
1026,1025,Iowa Medicaid Enterprise,Medicaid Services,IA,,862,26/02/2014,Unauthorized Access/Disclosure,Paper,29/05/2014,,26/02/2014,NA,2014
1029,1028,City of Cincinnati,Government,OH,OptumRx,5696,04/04/2014,Other,Paper,07/05/2014,,04/04/2014,NA,2014
1033,1032,"Molina Healthcare of California Partner Plan, Inc.",Healthcare,CA,Creel Printing,4744,18/03/2014,Other,Paper,27/05/2014,,18/03/2014,NA,2014
1034,1033,Howard L. Weinstein D.P.M.,Healthcare,TX,,1000,13/03/2014,Theft,Laptop,27/05/2014,,13/03/2014,NA,2014
1035,1034,"Bio-Reference Laboratories, Inc.",Research,NJ, Xand Corporation,1749,02/02/2014,Other,Network Server,18/06/2014,,02/02/2014,NA,2014
1038,1037,Blue Cross Blue Shield of Michigan/Blue Care Network,Insurance,MI,Bloom Health,502,15/02/2014,Unauthorized Access/Disclosure,E-mail,18/06/2014,,15/02/2014,NA,2014
1039,1038,Elliot Health System,Healthcare,NH,,1208,26/03/2014,Theft,Desktop Computer,18/06/2014,,26/03/2014,NA,2014
1040,1039,Humana Inc [case #15381],Insurance,KY,,2962,04/02/2014,Theft,Other Portable Electronic Device,18/06/2014,,02/04/2014,NA,2014
1044,1043,Aetna Life Insurance Company,Insurance,CT,"NFP Maschino, Hudelson & Associates",3814,04/02/2014,Theft,Laptop,18/06/2014,,02/04/2014,NA,2014
1045,1044,Salina Health Education Foundation dba Salina Family Healthcare Center,Healthcare,KS,,9640,04/08/2014,Unauthorized Access/Disclosure,E-mail,20/06/2014,,08/04/2014,NA,2014
1046,1045,Highmark Inc.,Insurance,PA,,2589,19/04/2014,Loss,Paper,27/06/2014,,19/04/2014,NA,2014
1049,1048,Walgreen Co.,Retail,IL,,540,03/03/2014,Theft,Desktop Computer,20/06/2014,,03/03/2014,NA,2014
1050,1049,St. Francis Hospital,Healthcare,GA,,1175,30/05/2014,Other,E-mail,18/06/2014,,30/05/2014,NA,2014
1052,1051,"Hospitalists of Brandon, LLC",Healthcare,FL,"Doctors First Choice Billings, Inc.",1831,02/11/2014,Hacking/IT Incident,Other,27/06/2014,,11/02/2014,NA,2014
1053,1052,Santa Rosa Memorial Hospital ,Healthcare,CA,,33702,06/02/2014,Theft,Other Portable Electronic Device,27/06/2014,,02/06/2014,NA,2014
1054,1053,Group Health Plan of Hurley Medical Center,Healthcare,MI,,2289,13/05/2014,Unauthorized Access/Disclosure,E-mail,27/06/2014,,13/05/2014,NA,2014
1055,1054,"Abrham Tekola, M.D.,INC",Healthcare,CA,,5471,27/05/2014,Theft,Desktop Computer,27/06/2014,,27/05/2014,NA,2014
666,665,Kmart Corporation,Retail,IL,Kmart Pharmacy #7623,16988,01/02/2013,Improper Disposal,Paper,12/02/2014,,02/01/2013,NA,2013
669,668,Yadkinville Chiropractic DCPA,Healthcare,NC,Yadkinville Chiropractic DCPA,1000,02/01/2013,Theft,Desktop Computer,12/02/2014,,01/02/2013,NA,2013
670,669,"Intervention Services, Inc.",Healthcare,FL,,1200,19/01/2013,Theft,Laptop,23/01/2014,,19/01/2013,NA,2013
672,671,"Center for Pain Management, LLC",Healthcare,MD,,5822,22/01/2013,Theft,Laptop,23/01/2014,,22/01/2013,NA,2013
673,672,Multiple Health Plans,Healthcare,CA,"Coast Healthcare Management, LLC",1368,12/07/2013,Theft,Paper,23/01/2014,,07/12/2013,NA,2013
679,678,Heyman HospiceCare at Floyd,Healthcare,GA,,1819,01/04/2013,Theft,Laptop,23/01/2014,,04/01/2013,NA,2013
687,686,"County of San Bernardino, Department of Behavioral Health",Healthcare,CA,,686,01/12/2013,Theft,Paper,23/01/2014,,12/01/2013,NA,2013
688,687,"WOMENS HEALTH ENTERPRISE, INC.",Healthcare,GA,,3000,01/02/2013,Theft,Laptop,23/01/2014,,02/01/2013,NA,2013
693,692,Lancaster General Medical Group,Healthcare,PA,,527,02/05/2013,Theft,Paper,23/01/2014,,05/02/2013,NA,2013
694,693,Maine Medical Center,Healthcare,ME,,1920,27/02/2013,Other,E-mail,12/02/2014,,27/02/2013,NA,2013
696,695,Utah Department of Health ,Healthcare,UT,Goold Health System (Goold),6332,01/10/2013,Loss,Other Portable Electronic Device,23/01/2014,,10/01/2013,11/01/2013,2013
697,696,Sports Rehabilitation Consultants,Healthcare,OH,,1200,02/01/2013,Theft,Desktop Computer,12/02/2014,,01/02/2013,NA,2013
699,698,"United HomeCare Services, Inc.",Healthcare,FL,,12299,01/08/2013,Theft,Laptop,23/01/2014,,08/01/2013,NA,2013
700,699,United Home Care Services of Southwest Florida< LLC,Healthcare,FL,"United HomeCare Services, Inc.",1318,01/08/2013,Theft,Laptop,23/01/2014,,08/01/2013,NA,2013
701,700,"catoctin Dental/Richard B. Love, DDS, PA",Dental,MD,Patterson Dental Supply/Patterson Companies,6400,01/03/2013,Hacking/IT Incident,Network Server,23/01/2014,,03/01/2013,NA,2013
706,705,"Thomas L. Davis, Jr. DDS",Dental,OR,,3269,02/12/2013,Theft, Electronic Medical Record,23/01/2014,,12/02/2013,NA,2013
707,706,"HealthCare for Women, Inc.",Healthcare,MA,,8727,18/03/2013,Hacking/IT Incident,Network Server,23/01/2014,,18/01/2013,23/01/2013,2013
709,708,Granger Medical Clinic,Healthcare,UT,,2600,17/01/2013,Theft,Paper,12/02/2014,,17/01/2013,NA,2013
710,709,Texas Tech Unversity Health Sciences Center,Healthcare,TX,,697,18/02/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,18/02/2013,NA,2013
711,710,Rite Aid #10217,Pharmacy,RI,,2082,02/01/2013,Unknown,Paper,12/02/2014,,01/02/2013,NA,2013
712,711,WA Department of Social and Health Services,Healthcare,WA,"Sunil Kakar, Psy.D.",629,02/04/2013,Theft,Laptop,23/01/2014,,04/02/2013,NA,2013
713,712,Carpenters Health & Welfare Trust Fund for California,Healthcare,CA,"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",2400,03/11/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,11/03/2013,12/03/2013,2013
716,715,Kmart Corporation,Retail,IL,,12542,17/03/2013,Theft,Electronic Medical Record,12/02/2014,,17/03/2013,NA,2013
718,717,Hospice and Palliative Care Center of Alamance Caswell,Healthcare,NC,,5370,24/02/2013,Unauthorized Access/Disclosure,Laptop,23/01/2014,,24/02/2013,NA,2013
719,718,"Texas Health Care, P.L.L.C.",Healthcare,TX,,554,03/10/2013,Theft,Paper,23/01/2014,,10/03/2013,NA,2013
721,720,Wm. Jennings Bryan Dorn VAMC,Healthcare,SC,,7405,02/11/2013,Loss,Laptop,23/01/2014,,11/02/2013,NA,2013
722,721,John J. Pershing VA Medical Center,Healthcare,MO,,589,20/02/2013,Theft,Paper,20/06/2014,"OCR opened an investigation of the covered entity (CE), John J. Pershing VA Medical Center, after the CE reported that its business associate (BA), Stress Laboratory, placed a box of unsecured protected health information (PHI) in an equipment storage room.  The PHI included the names, social security numbers, diagnoses, and age of approximately 589 individuals.  This breach incident involved a BA, and occurred prior to the September 23, 2013 compliance date.  The BA employee involved in this matter separated from employment in 2012, and the BA was reorganized and has been incorporated into the CE.  The CE provided breach notification to affected individuals, HHS, and the media.  Substitute notification was provided through a posting on the CE's main website with a toll-free information number.  The CE also offered one year of identity protection and credit monitoring services to affected individuals.  As a result of this incident, the CE adopted a new policy that provides guidance to its staff regarding the handling of PHI.  Additionally, the CE trained its employees on this new policy, and re-trained its employees on the Privacy, Security, and Breach Notification Rules.  Finally, OCR obtained assurances that the CE implemented the corrective action listed above.



",20/02/2013,NA,2013
723,722,Oregon Health & Science University,Healthcare,OR,,1076,22/02/2013,Theft,Laptop,23/01/2014,,22/02/2013,NA,2013
724,723,Schneck Medical Center,Healthcare,IN,,3131,14/03/2013,Unauthorized Access/Disclosure,Other,12/02/2014,,14/03/2013,NA,2013
725,724,The Guidance Center of Westchester,Mental Health,NY,,1416,21/02/2013,Theft,Desktop Computer,23/01/2014,,21/02/2013,NA,2013
727,726,"IHC Health Services, Inc. dba Intermountain Life Flight",Healthcare,UT,,857,28/03/2013,Unauthorized Access/Disclosure,Other,12/02/2014,,28/03/2013,NA,2013
728,727,Valley Mental Health,Healthcare,UT,,700,27/02/2013,Theft,Desktop Computer,23/01/2014,,27/02/2013,NA,2013
729,728,Delta Dental of Pennsylvania,Dental,PA,ZDI,14829,20/03/2013,Loss,Paper,23/01/2014,,20/03/2013,NA,2013
730,729,Raleigh Orthopaedic Clinic,Healthcare,NC,,17300,15/01/2013,Theft,Paper,23/01/2014,,15/01/2013,NA,2013
731,730,Laboratory Corporation of America,Laboratory,NC,,1580,15/03/2013,Theft,Desktop Computer,12/02/2014,,15/03/2013,NA,2013
732,731,"Arizona Counseling & Treatment Services, LLC",Healthcare,AZ,,3800,03/08/2013,Theft,Other Portable Electronic Device,23/01/2014,,18/03/2013,25/03/2013,2013
733,732,Wood County Hospital,Healthcare,OH,,2500,19/03/2013,Theft,Other,23/01/2014,,19/03/2013,NA,2013
734,733,University of Rochester Medical Center & Affiliates,Healthcare,NY,,537,15/02/2013,Loss,Other Portable Electronic Device,23/01/2014,,15/02/2013,NA,2013
735,734,Orthopedics & Adult Reconstructive Surgery,Healthcare,TX,AssuranceMD f/k/a Harbor Group,22000,03/01/2013,Loss,Other Portable Electronic Device,23/01/2014,,01/03/2013,13/03/2013,2013
737,736,Seattle - King County Department of Public Health,Healthcare,WA,,750,03/07/2013,Improper Disposal,Paper,23/01/2014,,07/03/2013,NA,2013
738,737,Regional Medical Center,Healthcare,TN,,1180,02/04/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,04/02/2013,NA,2013
739,738,Presbyterian Anesthesia Associates PA,Healthcare,NC,"E-dreamz, Inc.",9988,04/01/2013,Hacking/IT Incident,Network Server,23/01/2014,,01/04/2013,NA,2013
740,739,"Integrity Oncology, an office of Baptist Medical Group",Healthcare,TN,"North Atlantic Telecom, Inc.",539,03/05/2013,Other,Desktop Computer,23/01/2014,,05/03/2013,NA,2013
741,740,"Piedmont HealthCare, P.A.",Healthcare,NC,"E-dreamz, Inc.",1924,28/03/2013,Hacking/IT Incident,Network Server,23/01/2014,,28/03/2013,NA,2013
742,741,Indiana University Health Arnett,Healthcare,IN,,10350,04/09/2013,Theft,Laptop,23/01/2014,,09/04/2013,NA,2013
743,742,"Dent Neurologic Group, LLP",Healthcare,NY,,10000,13/05/2013,Other,E-mail,23/01/2014,,13/05/2013,NA,2013
744,743,City of Norwood,Government,OH,,9577,14/04/2013,Loss,Laptop,23/01/2014,,14/04/2013,19/04/2013,2013
746,745,Comfort Dental Marion and Kokomo,Dental,IN,Just the Connection Inc,5388,03/10/2013,Improper Disposal,Other,23/01/2014,,14/03/2013,18/03/2013,2013
747,746,Erskine Family Dentistry,Dental,IN,,2723,19/03/2013,Hacking/IT Incident,Desktop Computer,12/02/2014,,19/03/2013,NA,2013
748,747,Health Resources of Arkansas,Healthcare,AR,,1900,14/04/2013,Unauthorized Access/Disclosure,Other,23/01/2014,,14/04/2013,NA,2013
749,748,Various Health Plans,Healthcare,AL,SynerMed / Inland Valleys IPA,3164,14/04/2013,Theft,Laptop,23/01/2014,,14/04/2013,15/04/2013,2013
750,749,Independence Care System,Healthcare,NY,,2434,05/07/2013,Theft,Laptop,23/01/2014,,07/05/2013,NA,2013
751,750,Sonoma Valley Hospital,Healthcare,CA,,1386,14/02/2013,Other,Other,23/01/2014,,14/02/2013,NA,2013
753,752,"Community Support Services, Inc.",Community Services,OH,,1167,20/03/2013,Theft,E-mail,12/02/2014,,20/03/2013,26/03/2013,2013
755,754,Palm Beach County Health Department,Healthcare,FL,,877,01/07/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,07/01/2013,NA,2013
756,755,Lucile Packard Children's Hospital,Healthcare,CA,,12900,05/08/2013,Theft,Laptop,23/01/2014,,08/05/2013,NA,2013
757,756,Fayetteville VAMC,Healthcare,NC,,1093,17/04/2013,Improper Disposal,Paper,23/01/2014,,17/04/2013,NA,2013
758,757,Lincoln County Health and Human Services/Lincoln Community Health Center,Healthcare,OR,,959,17/04/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,17/04/2013,NA,2013
759,758,Union Security Insurance Company,Insurance,MO,,1127,17/05/2013,Improper Disposal,E-mail,23/01/2014,,17/05/2013,NA,2013
760,759,"Gulf Breeze Family Eyecare, Inc",Healthcare,FL,,9626,05/09/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,08/03/2013,09/05/2013,2013
761,760,Jacksonville Spine Center,Healthcare,FL,,5200,25/04/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,25/04/2013,NA,2013
762,761,Iowa Department of Human Services,Government,IA,,7335,30/04/2013,Loss,Other,23/01/2014,,30/04/2013,NA,2013
763,762,James A. Fosnaugh,Healthcare,NE,,2125,05/01/2013,Loss,Other Portable Electronic Device,23/01/2014,,01/05/2013,03/05/2013,2013
764,763,Lone Star Circle of Care,Healthcare,TX,,1955,05/02/2013,Theft,Laptop,23/01/2014,,01/05/2013,02/05/2013,2013
765,764,Aflac,Insurance,GA,Alberto Gerardo Vazquez Rivera,679,05/09/2013,Theft,Laptop,23/01/2014,,09/05/2013,NA,2013
766,765,Indiana Family & Social Services Administration,Community Services,IN,RCR Technology Corporation,187533,04/06/2013,Other,Paper,23/01/2014,,06/04/2013,21/05/2013,2013
767,766,Northrop Grumman Retiree Health Plan,Healthcare,VA,CVS Caremark,4305,20/05/2013,Theft,Paper,24/06/2014,"Business associate (BA) employees erroneously sent 4,305 health plan members' protected health information (PHI) to other plan members.  The PHI involved in the breach included names and prescribed medication(s).  The covered entity, Northrop Grumman Retiree Health Plan, provided breach notification to HHS, and the BA, CVS Caremark, provided breach notification to affected individuals and the media.  Following the breach, the BA revised its quality control policies for targeted mailings and retrained employees involved in the breach to prevent similar incidents in the future.  OCR obtained assurances that the BA implemented the breach notification and policy revisions listed above.",20/05/2013,NA,2013
768,767,"Health Net, Inc.",Healthcare,CA,,8331,04/01/2013,Other,Paper,23/01/2014,,01/04/2013,31/05/2013,2013
769,768,"South Florida Neurology Associates, P.A.",Healthcare,FL,,900,25/05/2013,Theft,Laptop,23/01/2014,,25/05/2013,30/05/2013,2013
770,769,Samaritan Regional Health System,Healthcare,OH,,2203,29/05/2013,Other,Paper,23/01/2014,,29/05/2013,NA,2013
771,770,MED-EL Coproration,Medical Supply,NC,,609,25/06/2013,Other,E-mail,23/01/2014,,25/06/2013,NA,2013
773,772,Illinois Department of Healthcare and Familiy Services,Healthcare,IL,Family Health Network,3133,05/08/2013,Other,Paper,23/01/2014,,08/05/2013,NA,2013
774,773,Delta Dental of Pennsylvania,Dental,PA,ZDI,4718,13/05/2013,Loss,Paper,23/01/2014,,13/05/2013,NA,2013
775,774,"Medtronic, Inc.",Medical Supply,MN,,2764,03/08/2013,Loss,Paper,23/01/2014,,28/03/2013,29/03/2013,2013
776,775,Texas Health Harris Methodist Hospital Fort Worth,Healthcare,TX,Shred-it International Inc.,277014,05/11/2013,Improper Disposal,Other,23/01/2014,,11/05/2013,NA,2013
778,777,Hansen & Associates,Consulting/Finance,WY,,2700,05/11/2013,Theft,Desktop Computer,10/06/2014,,21/05/2013,29/05/2013,2013
782,781,"GEO Care, LLC",Healthcare,FL,,710,16/04/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,16/04/2013,NA,2013
783,782,The Brookdale Hospital and Medical Center,Healthcare,NY,,2700,24/05/2013,Loss,Other Portable Electronic Device,23/01/2014,,24/05/2013,NA,2013
786,785,"Rocky Mountain Spine Clinic, P.C.",Healthcare,CO,,532,06/11/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,11/06/2013,NA,2013
787,786,"Vitreo-Retinal Medical Group, Inc. ",Healthcare,CA,,1837,06/05/2013,Theft,Laptop,23/01/2014,,05/06/2013,NA,2013
788,787,Arkansas Department of Human Services,Government,AR,Health Resources of Arkansas,1911,14/04/2013,Theft,Laptop,12/02/2014,,14/04/2013,NA,2013
789,788,Baylor All Saints Medical Center at Fort Worth,Healthcare,TX,,940,05/07/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,12/02/2014,,07/05/2013,06/06/2013,2013
790,789,"Cogent Healthcare, Inc.",Healthcare,TN,M2ComSys Inc.,32151,05/05/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,05/05/2013,24/06/2013,2013
791,790,Young Family Medicine Inc.,Healthcare,OH,,2045,06/12/2013,Theft,Laptop,23/01/2014,,12/06/2013,NA,2013
793,792,Colfax,Medical Supply,IN,Anthem BCBS of GA,5497,04/11/2013,Other,Other,12/02/2014,,11/04/2013,NA,2013
795,794,Foundations Recovery Network,Mental Health,TN,,5690,15/06/2013,Theft,Laptop,23/01/2014,,15/06/2013,NA,2013
796,795,California Correctional Health Care Services,Healthcare,CA,,1033,19/06/2013,Other,Paper,23/01/2014,,19/06/2013,NA,2013
797,796,North Texas Comprehensive Spine & Pain Center,Healthcare,TX,,3200,16/06/2013,Theft,Other Portable Electronic Device,12/02/2014,,16/06/2013,NA,2013
799,798,Jackson Health System,Healthcare,FL,,1471,01/08/2013,Other,Paper,23/01/2014,,08/01/2013,10/01/2013,2013
800,799,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",Healthcare,IL,,4029530,15/07/2013,Theft,Desktop Computer,23/01/2014,,15/07/2013,NA,2013
801,800,"Summit Community Care Clinic, Inc.",Healthcare,CO,,921,22/07/2013,Hacking/IT Incident,Desktop Computer,23/01/2014,,22/07/2013,NA,2013
802,801,UT Physicians,Healthcare,TX,,596,08/02/2013,Theft,Laptop,23/01/2014,,22/07/2013,02/08/2013,2013
803,802,Parkview Community Hospital Medical Center,Healthcare,CA,"Cogent Healthcare, Inc.",32000,05/05/2013,Other,Network Server,23/01/2014,,05/05/2013,24/06/2013,2013
804,803,Atlanta Center for Reproductive Medicine,Healthcare,GA,,654,07/12/2013,Other,E-mail,23/01/2014,,12/07/2013,NA,2013
805,804,St. Anthony's Physician Organization,Healthcare,MO,,2600,29/07/2013,Theft,Laptop,23/01/2014,,29/07/2013,NA,2013
806,805,Janna Benkelman LPC LLC,Mental Health,CO,,1500,08/01/2013,Theft,Laptop,23/01/2014,,01/08/2013,NA,2013
807,806,Olson & White Orthodontics,Healthcare,MO,,10000,22/07/2013,Theft,Network Server,23/01/2014,,22/07/2013,NA,2013
808,807,Kaiser Foundation Health Plan of the Northwest,Healthcare,OR,,647,15/03/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,15/03/2013,NA,2013
809,808,"Hankyu Chung, M.D.",Healthcare,CA,,2182,17/06/2013,Theft,Laptop,23/01/2014,,17/06/2013,NA,2013
810,809,"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",Education,IL,"ICS Collection Service, Inc.",1290,07/09/2013,Hacking/IT Incident,Other,23/01/2014,,09/07/2013,NA,2013
811,810,ACO of Puerto Rico,Healthcare,PR,PHMHS,5000,03/05/2013,Theft,Network Server,20/06/2014,"Upon request, a subcontractor (PHM Software Solutions) of the covered entity's (CE) business associate (BA), PHM Healthcare Solutions, modified a software application the CE was utilizing  which led to the disclosure of electronic protected health information (ePHI) of 5,000 individuals on the Internet.  The ePHI included names, gender, member identification numbers, dates of birth, and consent forms.  The CE provided breach notification to HHS, the media, and affected individuals and posted substitute notice on its website.  Upon discovery of the breach, the BA removed the software application and placed it offline.  As a result of OCR's investigation, the CE had its BA to conduct a risk analysis and create a risk management plan to address any vulnerabilities identified in the risk analysis.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR provided technical assistance to assist the CE understand its obligations under the Privacy and Security Rules regarding BA agreements.  ",05/03/2013,16/07/2013,2013
812,811,"NHC HealthCare, Oak Ridge",Healthcare,TN,,4268,05/10/2013,Loss,Other,13/03/2014,,10/05/2013,NA,2013
813,812,"NHC HealthCare, Mauldin",Healthcare,SC,,4204,15/05/2013,Improper Disposal,Other,13/03/2014,,15/05/2013,NA,2013
814,813,Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,Healthcare,IL,Blackhawk Consulting Group,2029,15/08/2013,Hacking/IT Incident,Network Server,12/02/2014,,30/06/2013,15/08/2013,2013
815,814,Dreyer Medical Clinic,Healthcare,IL,Blackhawk Consulting Group,998,06/06/2013,Hacking/IT Incident,Network Server,23/01/2014,,30/06/2013,15/08/2013,2013
817,816,Dermatology Associates of Tallahassee,Healthcare,FL,,916,09/04/2013,Unknown,Other,23/01/2014,,04/09/2013,NA,2013
818,817,Sierra View District Hospital,Healthcare,CA,,1009,07/01/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,01/07/2013,02/08/2013,2013
820,819,"Holy Cross Hospital, Inc.",Healthcare,FL,,9900,14/08/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,14/08/2013,NA,2013
821,820,Region Ten Community Services Board,Community Services,VA,,10228,29/07/2013,Hacking/IT Incident,E-mail,23/01/2014,,29/07/2013,NA,2013
822,821,Comprehensive Podiatry LLC,Healthcare,OH,,1360,08/03/2013,Theft,Laptop,23/01/2014,,03/08/2013,NA,2013
823,822,Santa Clara Valley Medical Center,Healthcare,CA,,579,14/09/2013,Theft,Laptop,23/01/2014,,14/09/2013,15/09/2013,2013
824,823,"Sarah Benjamin, DPM - Littleton Podiatry ",Healthcare,CO,Not Applicable ,3512,27/08/2013,Theft,Laptop,23/01/2014,,27/08/2013,NA,2013
